> Mon May 27 23:52:19 2019 | Epoch [0054/0100] | duration: 396.0s | loss: 0.9069 | best: 0.8996 |
> Mon May 27 23:58:55 2019 | Epoch [0055/0100] | duration: 395.5s | loss: 0.8935 | best: 0.8935 |
> Tue May 28 00:05:32 2019 | Epoch [0056/0100] | duration: 396.5s | loss: 0.8947 | best: 0.8935 |
> Tue May 28 00:12:07 2019 | Epoch [0057/0100] | duration: 395.4s | loss: 0.8936 | best: 0.8935 |
> Tue May 28 00:18:43 2019 | Epoch [0058/0100] | duration: 395.5s | loss: 0.8972 | best: 0.8935 |
> Tue May 28 00:25:19 2019 | Epoch [0059/0100] | duration: 395.5s | loss: 0.8946 | best: 0.8935 |
> Tue May 28 00:31:55 2019 | Epoch [0060/0100] | duration: 395.5s | loss: 0.8109 | best: 0.8109 |
> Tue May 28 00:38:31 2019 | Epoch [0061/0100] | duration: 395.7s | loss: 0.7972 | best: 0.7972 |
> Tue May 28 00:45:08 2019 | Epoch [0062/0100] | duration: 395.7s | loss: 0.7885 | best: 0.7885 |
> Tue May 28 00:51:44 2019 | Epoch [0063/0100] | duration: 395.6s | loss: 0.7763 | best: 0.7763 |
> Tue May 28 00:58:19 2019 | Epoch [0064/0100] | duration: 395.6s | loss: 0.7699 | best: 0.7699 |
> Tue May 28 01:04:55 2019 | Epoch [0065/0100] | duration: 395.2s | loss: 0.7685 | best: 0.7685 |
> Tue May 28 01:11:31 2019 | Epoch [0066/0100] | duration: 395.6s | loss: 0.7673 | best: 0.7673 |
> Tue May 28 01:18:07 2019 | Epoch [0067/0100] | duration: 395.5s | loss: 0.7593 | best: 0.7593 |
> Tue May 28 01:24:43 2019 | Epoch [0068/0100] | duration: 395.9s | loss: 0.7653 | best: 0.7593 |
> Tue May 28 01:31:18 2019 | Epoch [0069/0100] | duration: 395.1s | loss: 0.7616 | best: 0.7593 |
> Tue May 28 01:37:54 2019 | Epoch [0070/0100] | duration: 395.7s | loss: 0.7573 | best: 0.7573 |
> Tue May 28 01:44:29 2019 | Epoch [0071/0100] | duration: 393.8s | loss: 0.7566 | best: 0.7566 |
> Tue May 28 01:51:05 2019 | Epoch [0072/0100] | duration: 395.8s | loss: 0.7525 | best: 0.7525 |
> Tue May 28 01:57:40 2019 | Epoch [0073/0100] | duration: 394.9s | loss: 0.7539 | best: 0.7525 |
> Tue May 28 02:04:16 2019 | Epoch [0074/0100] | duration: 395.7s | loss: 0.7478 | best: 0.7478 |
> Tue May 28 02:10:52 2019 | Epoch [0075/0100] | duration: 395.5s | loss: 0.7391 | best: 0.7391 |
> Tue May 28 02:17:28 2019 | Epoch [0076/0100] | duration: 395.4s | loss: 0.7510 | best: 0.7391 |
> Tue May 28 02:24:04 2019 | Epoch [0077/0100] | duration: 396.2s | loss: 0.7456 | best: 0.7391 |
> Tue May 28 02:30:40 2019 | Epoch [0078/0100] | duration: 395.8s | loss: 0.7427 | best: 0.7391 |
> Tue May 28 02:37:16 2019 | Epoch [0079/0100] | duration: 395.6s | loss: 0.7349 | best: 0.7349 |
> Tue May 28 02:43:52 2019 | Epoch [0080/0100] | duration: 395.2s | loss: 0.6909 | best: 0.6909 |
> Tue May 28 02:50:28 2019 | Epoch [0081/0100] | duration: 395.5s | loss: 0.6778 | best: 0.6778 |
> Tue May 28 02:57:04 2019 | Epoch [0082/0100] | duration: 395.7s | loss: 0.6726 | best: 0.6726 |
> Tue May 28 03:03:40 2019 | Epoch [0083/0100] | duration: 395.7s | loss: 0.6773 | best: 0.6726 |
> Tue May 28 03:10:16 2019 | Epoch [0084/0100] | duration: 395.9s | loss: 0.6706 | best: 0.6706 |
> Tue May 28 03:16:53 2019 | Epoch [0085/0100] | duration: 396.0s | loss: 0.6620 | best: 0.6620 |
> Tue May 28 03:23:29 2019 | Epoch [0086/0100] | duration: 395.6s | loss: 0.6666 | best: 0.6620 |
> Tue May 28 03:30:05 2019 | Epoch [0087/0100] | duration: 395.7s | loss: 0.6608 | best: 0.6608 |
> Tue May 28 03:36:41 2019 | Epoch [0088/0100] | duration: 395.5s | loss: 0.6600 | best: 0.6600 |
> Tue May 28 03:43:16 2019 | Epoch [0089/0100] | duration: 395.3s | loss: 0.6596 | best: 0.6596 |
> Tue May 28 03:49:53 2019 | Epoch [0090/0100] | duration: 395.8s | loss: 0.6562 | best: 0.6562 |
> Tue May 28 03:56:29 2019 | Epoch [0091/0100] | duration: 395.7s | loss: 0.6544 | best: 0.6544 |
> Tue May 28 04:03:05 2019 | Epoch [0092/0100] | duration: 395.8s | loss: 0.6558 | best: 0.6544 |
> Tue May 28 04:09:40 2019 | Epoch [0093/0100] | duration: 395.0s | loss: 0.6522 | best: 0.6522 |
> Tue May 28 04:16:16 2019 | Epoch [0094/0100] | duration: 395.6s | loss: 0.6484 | best: 0.6484 |
> Tue May 28 04:22:52 2019 | Epoch [0095/0100] | duration: 395.8s | loss: 0.6484 | best: 0.6484 |
> Tue May 28 04:29:28 2019 | Epoch [0096/0100] | duration: 395.7s | loss: 0.6461 | best: 0.6461 |
> Tue May 28 04:36:04 2019 | Epoch [0097/0100] | duration: 395.4s | loss: 0.6451 | best: 0.6451 |
> Tue May 28 04:42:40 2019 | Epoch [0098/0100] | duration: 395.7s | loss: 0.6450 | best: 0.6450 |
> Tue May 28 04:49:16 2019 | Epoch [0099/0100] | duration: 395.5s | loss: 0.6391 | best: 0.6391 |
